Actor,Date of Birth,Country,Net Worth (USD)
Aaron Eckhart,1968-03-12,United States of America,25000000
Adam Beach,1972-07-11,Canada,10000000
Adam Brooks,1972-09-02,Canada,N/A
Adrien Brody,1973-04-14,United States of America,50000000
Aidan Gillen,1968-04-24,Ireland,16000000
Albert Brooks,1948-07-22,United States of America,80000000
Albert Finney,1936-05-09,England,20000000
Albert Hall,1943-03-13,United States of America,N/A
Alec Baldwin,1958-04-03,United States of America,60000000
Alex Pettyfer,1988-09-10,England,10000000
Alexa PenaVega,1988-08-27,United States of America,12000000
Alfre Woodard,1953-11-08,United States of America,20000000
Amber Heard,1986-04-22,United States of America,1000000
Amy Adams,1974-08-20,United States of America,160000000
Amy Ryan,1966-05-19,United States of America,10000000
Andie MacDowell,1958-11-21,United States of America,20000000
Andre Braugher,1962-02-01,United States of America,10000000
Andrew Dice Clay,1957-01-29,United States of America,20000000
Andy García,1956-04-12,Cuba,30000000
Andy Serkis,1964-04-20,England,40000000
Angela Bassett,1958-08-16,United States of America,25000000
Angelina Jolie,1975-06-04,United States of America,120000000
Anjelica Huston,1951-07-08,United States of America,25000000
Anne Bancroft,1931-09-16,United States of America,20000000
Anne Hathaway,1982-11-12,United States of America,150000000
Annette Bening,1955-05-29,United States of America,40000000
Annie Corley,1968-05-13,United States of America,N/A
Anthony Hopkins,1937-12-31,Wales,160000000
Antonio Banderas,1960-08-10,Spain,45000000
Asa Butterfield,1997-04-13,England,10000000
Ashley Scott,1977-09-13,United States of America,5000000
Barbara Hershey,1948-02-14,United States of America,20000000
Barry Pepper,1970-04-04,Canada,12000000
Bee Vang,1987-02-22,United States of America,N/A
Ben Kingsley,1943-12-31,England,20000000
Benedict Cumberbatch,1976-07-19,England,60000000
Benicio del Toro,1967-02-19,Puerto Rico,30000000
Billy Crudup,1968-03-08,United States of America,20000000
Billy Crystal,1948-03-14,United States of America,45000000
Bonnie Bedelia,1948-03-25,United States of America,10000000
Brad Pitt,1963-12-18,United States of America,300000000
Bradley Cooper,1975-01-05,United States of America,200000000
Bruce Willis,1955-03-19,United States of America,250000000
Bryce Dallas Howard,1981-03-02,United States of America,25000000
Cameron Diaz,1972-08-30,United States of America,140000000
Carla Gugino,1971-08-29,United States of America,20000000
Carlos Montalbán,1922-09-25,Mexico,10000000
Caroline Goodall,1959-12-22,England,10000000
Carolyn Saxon,1960-08-17,United States of America,N/A
Carrie Snodgress,1946-10-27,United States of America,10000000
Cate Blanchett,1969-05-14,Australia,90000000
Catherine Keener,1959-03-23,United States of America,20000000
Catherine O'Hara,1954-03-04,Canada,25000000
Catherine Zeta-Jones,1969-09-25,Wales,150000000
Cathy Moriarty,1960-11-29,United States of America,10000000
Cayden Boyd,2003-09-13,United States of America,N/A
Cedric the Entertainer,1964-04-24,United States of America,40000000
Channing Tatum,1980-04-26,United States of America,80000000
Charles S. Dutton,1951-01-13,United States of America,10000000
Charlie Tahan,2004-04-11,United States of America,N/A
Charlie Watts,1941-06-02,England,400000000
Chelsea Field,1960-02-24,United States of America,N/A
Chiwetel Ejiofor,1977-07-10,England,25000000
Christian Bale,1974-01-30,Wales,120000000
Christina Ricci,1980-02-12,United States of America,25000000
Christoph Waltz,1956-10-04,Austria,40000000
Christopher Carley,1957-03-25,United States of America,N/A
Christopher Walken,1943-03-31,United States of America,50000000
