Country,Continent,Population,Capital,Independence Date,Official Language
Australia,Oceania,25700000,Canberra,1901-01-01,English
Canada,North America,38300000,Ottawa,1867-07-01,English/French
Finland,Europe,5500000,Helsinki,1917-12-06,Finnish/Swedish
France,Europe,67800000,Paris,843-01-01,French
Germany,Europe,83200000,Berlin,1871-01-18,German
Hong Kong,Asia,7500000,Hong Kong,N/A,Chinese
India,Asia,1400000000,New Delhi,1947-08-15,Hindi/English
Ireland,Europe,5100000,Dublin,1922-12-06,English
Italy,Europe,59100000,Rome,1861-03-17,Italian
Japan,Asia,125800000,Tokyo,660 BCE,Japanese
Luxembourg,Europe,650000,Luxembourg City,1867-03-15,Luxembourgish/French/German
Morocco,Africa,37800000,Rabat,1956-03-02,Arabic
Netherlands,Europe,17600000,Amsterdam,1648-01-30,Dutch
New Zealand,Oceania,5100000,Wellington,1947-09-26,English/Maori
Russia,Europe,144100000,Moscow,1991-12-26,Russian
Spain,Europe,47400000,Madrid,1492-10-12,Spanish
United Arab Emirates,Asia,9900000,Abu Dhabi,1971-12-02,Arabic
United Kingdom,Europe,67300000,London,1707-05-01,English
United States of America,North America,331900000,Washington DC,1776-07-04,English
