Director,Date of Birth,Country,Net Worth (USD)
Steven Spielberg,1946-12-18,United States of America,3700000000
Woody Allen,1935-12-01,United States of America,160000000
Martin Scorsese,1942-11-17,United States of America,300000000
Clint Eastwood,1930-05-31,United States of America,375000000
Spike Lee,1957-03-20,United States of America,200000000
Ridley Scott,1937-11-30,England,1600000000
Steven Soderbergh,1963-01-14,United States of America,250000000
Robert Rodriguez,1968-06-20,United States of America,500000000
Renny Harlin,1959-03-15,Finland,100000000
Tim Burton,1958-08-25,United States of America,200000000
