movie_id,title,overview,runtime,Director,Actor_1,Actor_2,Actor_3,budget,revenue,original_language,release_date,genre_1,genre_2,genre_3,genre_4,genre_5,Country_1,Country_2,Country_3,Country_4,Country_5,vote_average,vote_count
20662,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",140.0,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,200000000,310669540,English,2010-05-12,Action,Adventure,,,,United Kingdom,United States of America,,,,6.2,1398
12155,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",108.0,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway,200000000,1025491110,English,2010-03-03,Family,Fantasy,Adventure,,,United States of America,,,,,6.4,4645
217,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",122.0,Steven Spielberg,Harrison Ford,Cate Blanchett,Shia LaBeouf,185000000,786636033,English,2008-05-21,Adventure,Action,,,,United States of America,,,,,5.7,2495
44826,Hugo,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",126.0,Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,170000000,185770160,English,2011-11-22,Adventure,Drama,Family,,,France,United States of America,United Kingdom,,,7.0,2141
118,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",115.0,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,150000000,474968763,English,2005-07-13,Adventure,Comedy,Family,Fantasy,,Australia,United Kingdom,United States of America,,,6.7,3624
62213,Dark Shadows,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,113.0,Tim Burton,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,150000000,245527149,English,2012-05-08,Comedy,Fantasy,,,,Australia,United States of America,,,,5.7,2320
147441,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",150.0,Ridley Scott,Christian Bale,Joel Edgerton,John Turturro,140000000,268031828,English,2014-12-03,Adventure,Drama,Action,,,Spain,United Kingdom,United States of America,,,5.6,1921
267935,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",120.0,Steven Spielberg,Ruby Barnhill,Mark Rylance,Rebecca Hall,140000000,183345589,English,2016-06-01,Adventure,Family,Fantasy,,,India,United States of America,,,,6.0,1000
74,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",116.0,Steven Spielberg,Tom Cruise,Dakota Fanning,Miranda Otto,132000000,591739379,English,2005-06-28,Adventure,Thriller,Science Fiction,,,United States of America,,,,,6.2,2322
17578,The Adventures of Tintin,"Intrepid young reporter, Tintin and his loyal dog, Snowy are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson &amp; Thomson, travel half the world, one step ahead of their enemies as Tintin endeavors to find The Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",107.0,Steven Spielberg,Jamie Bell,Andy Serkis,Daniel Craig,130000000,371940071,English,2011-10-25,Adventure,Animation,Mystery,,,New Zealand,United States of America,,,,6.7,2061
70981,Prometheus,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",124.0,Ridley Scott,Noomi Rapace,Michael Fassbender,Guy Pearce,130000000,403170142,English,2012-05-30,Science Fiction,Adventure,Mystery,,,United Kingdom,United States of America,,,,6.3,5080
163,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",125.0,Steven Soderbergh,George Clooney,Brad Pitt,Catherine Zeta-Jones,110000000,362744280,English,2004-12-09,Thriller,Crime,,,,United States of America,,,,,6.4,2124
2567,The Aviator,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",170.0,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,116000000,102000000,English,2004-12-17,Drama,,,,,United States of America,,,,,7.0,1489
1495,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",144.0,Ridley Scott,Orlando Bloom,Eva Green,Jeremy Irons,130000000,211643158,English,2005-05-03,Drama,Action,Adventure,History,War,Germany,Morocco,Spain,United Kingdom,United States of America,6.6,1157
